player_id,name,birthdate,nationality,position,market_value,current_team_id,instagram_followers,engagement_rate,media_mentions
1,Allison Hill,1989-07-14,Saint Pierre and Miquelon,Defender,91400476.29,9,9516702,8.83,2587
2,Patrick Gardner,1997-12-25,Antigua and Barbuda,Defender,65888427.86,9,6638601,8.9,3768
3,Daniel Wagner,1985-01-04,Congo,Defender,27223136.48,19,4138722,7.58,4425
4,Meredith Barnes,1994-09-25,Fiji,Midfielder,74954367.35,2,7188926,9.03,3281
5,Abigail Shaffer,2000-06-16,Guam,Midfielder,22712755.16,14,2321821,5.34,754
6,Daniel Gallagher,1986-10-02,Hong Kong,Goalkeeper,86249188.06,11,2565251,6.46,3468
7,Ryan Munoz,2002-12-18,Saint Lucia,Goalkeeper,39091963.86,1,9998348,9.96,4344
8,Calvin Nielsen,1986-03-19,French Polynesia,Midfielder,97136759.38,15,193619,6.96,948
9,Lisa Hensley,1997-09-05,Romania,Midfielder,77091274.53,4,5708197,1.56,3571
10,Matthew Mejia,2007-01-22,Timor-Leste,Defender,45918646.93,16,4419934,9.73,1473
11,Brian Ramirez,1999-01-08,Haiti,Goalkeeper,87181338.41,15,5008072,8.5,4168
12,Henry Santiago,2000-07-17,Pitcairn Islands,Defender,16131087.59,3,2711343,5.62,4354
13,Lisa Jackson,2001-03-03,Central African Republic,Goalkeeper,60295513.86,12,8198443,0.69,2983
14,Devin Schaefer,2000-03-24,Cyprus,Midfielder,24705778.72,12,4042154,8.84,655
15,Sarah Parsons,1989-09-02,Antigua and Barbuda,Goalkeeper,73458851.89,15,1162193,9.79,4373
16,Jennifer Jones,2005-05-27,Montenegro,Defender,13710754.99,10,7974915,9.5,1362
17,Emily Rios,1993-07-02,United States Virgin Islands,Midfielder,53239704.95,10,7100076,9.66,4427
18,Brenda Taylor,2001-07-14,Mauritania,Defender,71581948.31,19,6694979,9.95,3069
19,Kevin Hurst,1993-08-02,Cyprus,Forward,90061794.38,16,7575680,1.65,1850
20,Brenda Snyder PhD,2004-03-16,Cape Verde,Goalkeeper,34470470.65,8,9871182,5.76,4830
21,Rebecca Henderson,1985-11-11,Hong Kong,Defender,1711893.06,7,988737,2.67,267
22,Julie King,1997-02-15,Western Sahara,Midfielder,8014877.64,5,3994055,3.15,3986
23,Nathan Maldonado,1996-10-01,Ethiopia,Defender,54384159.21,7,9581513,5.97,2000
