ticket_id,fan_id,match_id,seat_number,price,purchase_date
1,41,58,1C,44.49,2025-03-12
2,9,378,4A,79.05,2025-05-21
3,3,16,3B,43.27,2025-02-20
4,39,14,18B,91.6,2025-04-28
5,45,280,14B,64.92,2025-04-02
6,18,4,25B,89.81,2025-03-12
7,22,143,5B,115.72,2025-01-24
8,22,53,3D,29.67,2025-03-22
9,23,310,9A,92.97,2025-02-14
10,35,64,30D,27.88,2025-02-18
11,19,322,20C,77.74,2025-04-17
12,46,36,2B,97.31,2025-02-19
13,6,120,28A,58.01,2025-04-18
14,30,326,27C,36.27,2025-05-06
15,23,108,22C,90.18,2025-04-21
16,44,332,3B,73.41,2025-02-26
17,16,84,15D,46.99,2025-01-16
18,41,353,18B,88.46,2024-12-09
19,50,29,8A,100.5,2025-01-08
20,26,138,3B,111.31,2025-01-28
21,37,368,11B,85.54,2025-05-16
22,26,330,15B,46.49,2024-12-09
23,16,288,18C,94.7,2024-12-23
24,28,299,13C,41.93,2025-02-06
25,9,261,16A,95.58,2025-04-10
26,8,79,21B,99.21,2024-12-06
27,28,306,3D,58.16,2025-02-11
28,30,271,9A,88.03,2025-03-09
29,8,350,29C,96.86,2025-02-12
30,22,58,10D,35.82,2025-01-03
31,1,370,29C,117.19,2025-02-07
32,49,92,17A,107.05,2025-04-08
33,20,328,17B,35.28,2025-05-09
34,49,83,18A,79.89,2025-02-05
35,32,10,4C,107.87,2024-11-25
36,20,123,2B,107.8,2025-01-20
37,6,44,24D,101.6,2025-05-08
38,49,273,25B,32.84,2025-03-08
39,31,282,6C,72.77,2025-04-28
40,39,217,7B,91.29,2025-05-17
41,26,344,21C,63.81,2025-02-26
42,34,232,4B,42.47,2025-01-15
43,22,11,19B,78.84,2025-02-26
44,1,37,23A,42.89,2025-02-07
45,3,170,3B,47.85,2025-04-02
46,32,110,18B,92.34,2025-04-13
47,37,296,16B,98.46,2025-05-06
48,27,98,4A,85.9,2025-05-21
49,23,217,14D,106.38,2025-03-24
50,4,345,21A,26.06,2024-11-29
51,47,174,26A,44.87,2025-03-18
52,13,275,15B,62.19,2025-04-01
53,18,237,8A,64.31,2024-12-10
54,36,51,2A,116.9,2024-12-20
55,49,122,6D,68.56,2024-12-29
56,14,206,29A,36.46,2025-01-13
57,1,200,9D,48.52,2025-01-26
58,45,375,26D,35.48,2025-02-20
59,19,112,2A,94.8,2025-01-28
60,4,26,19D,70.29,2025-01-17
61,34,81,2A,105.13,2025-01-11
62,5,305,3B,60.38,2025-02-23
63,37,127,19A,81.94,2025-04-18
64,27,337,19C,113.47,2024-12-04
65,14,343,23C,43.87,2025-01-06
66,26,68,22C,65.72,2025-04-24
67,49,38,1D,82.12,2025-04-19
68,37,52,3B,70.59,2025-01-11
69,9,179,29A,107.93,2025-05-05
70,24,146,6D,103.37,2025-03-24
71,46,155,20A,86.79,2025-01-09
72,36,154,30A,113.89,2025-02-23
73,9,136,4A,94.24,2025-03-13
74,10,140,10B,91.76,2025-02-22
75,14,352,21C,70.54,2025-04-21
76,17,27,3D,102.93,2024-12-26
77,3,2,11B,83.71,2025-03-21
78,17,83,24D,75.17,2025-04-24
79,28,288,1A,27.52,2025-01-23
80,45,77,18A,103.46,2025-03-16
81,38,283,5D,32.74,2025-05-23
82,20,187,29A,109.89,2025-03-15
83,14,350,8A,55.37,2025-02-09
84,36,209,20B,112.58,2024-12-08
85,16,84,26B,108.14,2025-04-07
86,2,92,24C,98.24,2024-12-13
87,27,343,28B,46.68,2025-05-08
88,45,56,13A,105.86,2025-04-29
89,15,103,27D,54.97,2025-04-27
90,15,115,1B,59.85,2025-04-24
91,18,36,25C,55.11,2025-01-30
92,33,205,22C,113.92,2025-02-15
93,8,134,6C,23.83,2024-12-07
94,39,223,12C,63.64,2025-03-29
95,33,60,13B,45.47,2024-11-26
96,46,224,1B,56.42,2025-05-02
97,5,341,30C,82.32,2024-12-14
98,43,64,24C,70.71,2025-02-02
99,43,210,11D,89.72,2025-04-10
100,36,66,7D,86.49,2025-02-16
